Cbc News,Canadian pharmacies are limiting how much medication can be dispensed to try to prevent shortages,2020-03-27 08:00:00,recognizing that most active ingredients for drugs come from India and China and medical supply chains have been disrupted by the spread of COVID-19.,Coronavirus a wake-up call for Canadas prescription drug supply,Canadian pharmacies are limiting how much medication can be dispensed to try to prevent shortages
The Associated Press,2020-03-25 08:18:00,White House reach deal on 2T coronavirus rescue package,The White House and Senate leaders of both parties announced agreement early Wednesday on an unprecedented 2 trillion US emergency bill to rush sweeping aid to businesses,U.S. Senate,workers and a health-care system slammed by the coronavirus pandemic.
Cbc News,2020-03-24 21:38:00,March 24,The latest on the coronavirus outbreak from CBC News for Tuesday,The latest on the coronavirus outbreak for Tuesday,March 24
The Associated Press,dies of coronavirus complications,winner of Top Chef Masters,2020-03-25 18:58:00,Celebrity chef Floyd Cardoz,Chef Floyd Cardoz
Cbc News,2020-03-23 22:58:00,news,The free B.C. COVID-19 Support app includes a self-check tool; lists of recommendations from the B.C. Centre for Disease Control; guides on handwashing and social,B.C. launches app for coronavirus info,or physical
"",Like others in the business,2020-03-24 18:20:00,Kinsip Distillery has started producing hand sanitizer. But theres a twist: co-owner Sarah Waterston is also a doctor on the front lines of the pandemic.,Prince Edward County distillery switching gears to fight coronavirus,A small-batch distillery in Prince Edward County is joining the fight against COVID-19 by using its production facilities to make hand sanitizer. But theres a twist to this story — one of Kinsip Distillerys owners
The Associated Press,G7 finance ministers and central bank governors on Tuesday pledged to expand fiscal and monetary actions for as long as necessary to restore growth and confidence battered by the coronavirus.,2020-03-24 14:18:00,A statement from G7 finance ministers and central bankers says the group will do whatever is necessary to restore economic confidence and protect jobs and businesses during the COVID-19 pandemic. The nations,G7 nations pledge to work together for as long as necessary in coronavirus battle,representing seven of the worlds leading economies
"",Harvey Weinstein tested positive for the coronavirus at a state prison in New York while serving a 23-year sentence for rape and sexual assault,2020-03-23 18:42:00,the head of the state correctional officers union said Monday.,Harvey Weinstein tests positive for coronavirus in prison,Harvey Weinstein tested positive for the coronavirus at a state prison in New York while serving a 23-year sentence for rape and sexual assault
Thomson Reuters,2020-03-24 15:01:00,Senate leaders say,Democrats and Republicans said Tuesday they were close to reaching a deal on a 2 trillion US coronavirus economic stimulus package,U.S. nears goal line in coronavirus stimulus negotiations,raising hopes that the U.S. Congress could soon act to try to limit the economic fallout from the pandemic.
The Associated Press,India will begin the worlds largest lockdown,2020-03-24 16:38:00,Prime Minister Narendra Modi announced in a TV address Tuesday night,Narendra Modi orders total lockdown of India to combat coronavirus spread,warning that anyone going outside risked inviting the coronavirus inside their homes
Thomson Reuters,2020-03-24 12:36:00,wife in hospital after ingesting chloroquine over coronavirus fears,A Phoenix-area man has died and his wife was in critical condition after the couple ingested an aquarium cleaning product containing chloroquine phosphate,Arizona man dead,a chemical with a name similar to one found in the anti-malaria medication touted by U.S. President Donald Trump as a treatment for COVID-19.
Cbc News,Main Street Project is moving fast to create space for the homeless community in light of COVID-19.,2020-03-27 03:36:00,Main Street Project is moving fast to create space for the homeless community in light of COVID-19.  Last week,COVID-19 prompts acceleration of 2-million Main Street Project expansion, the federal government approved emergency advancement of 2 million earmarked for a 120-bed renovation of the shelters location at the intersection of Main Street and Logan Avenue.  Main Street Project executive director Rick Lees said the renovation is being fast-tracked by Bockstael Construction with a completion target of three to four weeks — a year sooner than originally planned. Its purely being done for COVID response. We would not normally do this in this stage of that project
Cbc News,Quebec and Ontario have ordered the closure of all non-essential workplaces as the number of COVID-19 cases in Canada surpasses 2,2020-03-23 11:01:00,000.,Coronavirus: Whats happening in Canada and around the world on March 23,THE LATEST:  Go home and stay home
"",2020-03-27 05:29:00,and a daughter serenades her ailing father,From trumpet-playing for dad,COVID-19 cant stop the music: Balcony boogies for seniors,to a community dance-off at a seniors’ home
Cbc News,2020-03-27 03:38:00,mandatory self-isolation rules take effect,Travellers coming through the Calgary International Airport say theyre ready to head into the now-mandatory quarantine.,At the Calgary International Airport,Travellers coming through the Calgary International Airport say theyre ready to head into the now-mandatory quarantine. Mandatory self-isolation rules now apply to all international travellers entering Alberta through Calgarys airport
"",Two researchers from the University of British Columbia are collecting data on how people cope with the COVID-19 pandemic.,2020-03-24 04:49:00,Two researchers from the University of British Columbia are seeking participants in a study looking at how people around the world are coping with the stress of the coronavirus outbreak.  The rapid spread of COVID-19,Stressed about coronavirus? These UBC researchers want to hear from you,and the accompanying extreme measures communities around the world are implementing to try and stop it
The Associated Press,Spanish army troops disinfecting nursing homes have found,2020-03-24 20:58:00,to their horror,Bodies of coronavirus victims found in Spanish nursing homes,some residents living in squalor among the infectious bodies of people suspected of dying from the new coronavirus
The Associated Press,Top congressional and White House officials emerged from gruelling negotiations at the Capitol over the nearly 2 trillion coronavirus rescue package saying they expected to reach a deal Tuesday.,2020-03-23 14:04:00,Top congressional and White House officials emerged from gruelling negotiations at the Capitol over the nearly 2 trillion coronavirus rescue package saying they expected to reach a deal Tuesday. Treasury Secretary Steven Mnuchin and Senate Democratic leader Chuck Schumer said they had spoken by phone with President Donald Trump during the long night of negotiations. While the two sides have resolved many issues in the sweeping package,Negotiators close on nearly 2 trillion virus aid package,some remain. At midnight Monday
Cbc News,2020-03-27 02:06:00,monitor for COVID-19 symptoms,Interior Health officials are asking people who went to the Save-On-Foods pharmacy in Columbia Place Shopping Centre in Kamloops,Customers of Kamloops pharmacy asked to isolate,March 10
The Associated Press,Countries will have to go beyond locking down their societies to defeat coronavirus,2020-03-22 11:20:00,the World Health Organizations top emergency expert said on Sunday,Coronavirus: Heres whats happening on March 22,adding that there need to be public health measures to avoid a resurgence of the virus later on.
"",Stock markets around the world jump significantly higher on hopes that trillions of dollars in stimulus spending by governments around the world will be enough to offset the economic damage wrought by the coronavirus that causes COVID-19.,2020-03-24 14:37:00,Stock markets in New York and Toronto jumped significantly higher Tuesday on hopes that trillions of dollars in stimulus spending by governments around the world will be enough to offset the economic damage wrought by the COVID-19 pandemic. The S&P/TSX composite index closed up 1,Battered stock markets post best day in years as governments fight coronavirus with cash,342 points
Cbc News,2020-03-23 23:55:00,healthcare workers from coronavirus,Fiat Chrysler Automobiles (FCA) announced on Monday plans to manufacture and distribute more than one million protective face masks each month in an attempt to protect front-line workers — including police,FCA to produce masks to protect first responders,EMTs
The Associated Press,A strong earthquake in Croatia on Sunday morning caused panic,2020-03-22 09:23:00,the evacuation of hospitals and widespread damage,Croatia quake injures 17 amid partial coronavirus lockdown,including to the capitals iconic cathedral — all amid a partial coronavirus lockdown.
Cbc News,The City of Edmonton announced it will close outdoor playgrounds effective immediately as part of its latest response to the COVID-19 pandemic.,2020-03-24 18:58:00,The City of Edmonton announced it will close outdoor playgrounds effective immediately as part of its latest response to the COVID-19 pandemic. We understand this will be disappointing to some families,Edmonton playgrounds to close immediately in response to coronavirus pandemic,interim city manager Adam Laughlin said Tuesday afternoon. The city is also closing sledding hills
The Associated Press,Michigan Gov. Gretchen Whitmer has issued a statewide stay-at-home order to curb the spread of the coronavirus,2020-03-23 16:19:00,with an exemption for certain workers,Michigan governor issues stay-at-home order to curb coronavirus,outdoor exercise and trips to the grocery store or hospital.
"",2020-03-24 22:09:00,where coronavirus is raging,An Italian exchange student has been forced to leave Canada because of the coronavirus and go home to a place where it’s vastly more widespread.,Italian exchange student forced to leave St. Johns and go home,Edoardo Spinosa has been sent home to Milan
Cbc News,The number of confirmed or presumed cases of COVID-19 in Newfoundland and Labrador has more than doubled in the last 24 hours,2020-03-23 13:28:00,with the provinces chief medical officer of health announcing 15 new presumptive cases on Monday afternoon.,More businesses ordered shut as N.L. coronavirus cases soar to 24,The provincial government announced 15 new presumptive cases of COVID-19 in Newfoundland and Labrador on Monday
"",Refugees live in crowded conditions in camps around the world. Humanitarian and medical workers fear populations will be decimated when coronavirus arrives in the camps.,2020-03-23 08:00:00,Ask Syrian aid worker Osama al-Hussein how hes holding up and,Aid workers brace for impact of coronavirus in refugee camps,like many of those engaged in humanitarian work
Reporter The Canadian Press,no smell: Saskatchewan athlete recounts falling ill with COVID-19,No appetite,2020-03-27 01:00:00,Stephanie Taylor Is A Canadian Press Reporter Based In Saskatchewan.,The possibility of having COVID-19 started to become real for Brock Weston as he drove home to Saskatchewan. The Wisconsin college student had had fever sweats the night before. A stuffy nose and sore throat he thought were from dust in the air or maybe
Thomson Reuters,2020-03-23 18:36:00,as UN appeals for aid for poorest economies,The coronavirus pandemic will cause a global recession in 2020 that could be worse than that seen during the global financial crisis of 2008-2009,IMF says coronavirus recession will be worse than 2008,but the worlds economic output should recover in 2021
Thomson Reuters,2020-03-23 21:20:00,no gatherings in coronavirus lockdown,British Prime Minister Boris Johnson on Monday ordered Britons to stay at home to try to halt the spread of coronavirus,You must stay at home: Boris Johnson orders British shops closed,closing non-essential shops
Asia Correspondent,South Korea. He Previously Reported On The Middle East,Based In Beijing. He Has Covered China As Well As Reported North,Jerusalem,Saša Petricic Is The CbcS Asia Correspondent,Through The Arab Spring
American Politics Contributor,Now,Issues That Shape The American Experience. Keith Was Based For Several Years In Los Angeles,In Retirement After A Long Career With Cbc News,Keith Boag Writes About American Politics,Continues To Live In Washington
"",Concerns about COVID-19 have cancelled a number of gigs so musicians are getting creative.,2020-03-21 11:00:00,With live events being cancelled due to concerns about COVID-19,Sask. musicians getting creative in age of coronavirus,self-employed musicians in Saskatchewan need to get creative to pay their bills and Sask Music is looking at ways to help. Were trying to remain positive. Obviously
Cbc News,2020-03-26 22:50:00,first in a hospitalized patient,The Windsor-Essex County Health Unit confirmed on Thursday evening the regions sixth case of COVID-19.,WECHU confirms 6th COVID-19 case,The Windsor-Essex County Health Unit confirmed on Thursday evening the regions sixth case of COVID-19. According to WECHU
Video Journalist,Fredericton,Saint John,Toronto,Colin Butler Is A Veteran Cbc Reporter WhoS Worked In Moncton,Kitchener-Waterloo
"",In these days of physical distancing,2020-03-23 16:00:00,grocery stores exist as a place where strangers continue to gather,Critical link in the food chain: Grocery stores take measures to limit coronavirus spread,driven by the shared need to restock cupboards.
The Associated Press,Parks where rare mountain gorillas live are being closed to visitors,2020-03-23 12:50:00,citing advice from scientific experts indicating that primates,Coronavirus risk to rare mountain gorillas prompts tourist bans,including mountain gorillas
Nicholas Frew Is An Online Reporter Based In Winnipeg. Hailing Newfoundland,Email At Nick.Frew Cbc.Ca,Frew Interned At The Winnipeg Free Press. Story Idea,Email,Frew Moved To Halifax To Attend Journalism School Before Moving To Winnipeg. Prior To Joining Cbc Manitoba,Nick.Frew Cbc.Ca
"",A group of eastern Ontario municipalities is calling on residents to respect self-isolation and physical distancing rules as they step up measures to slow the spread of COVID-19.,2020-03-27 08:00:00,A group of eastern Ontario municipal leaders is calling on residents to respect self-isolation and physical distancing rules as they step up measures to slow the spread of COVID-19. The United Counties of Stormont,Eastern Ontario leaders slam covidiots as they declare states of emergency,Dundas and Glengarry
Senior Reporter,The Band Played On. You Can Reach Her At Julie.Ireton Cbc.Ca,Enterprise News Features At Cbc Ottawa. SheS Also The Host Of The New Cbc Investigative Podcast,Global Affairs working around the clock to get Canadians home,Julie Ireton Is A Senior Reporter Who Works On Investigations,2020-03-27 08:00:00
Cbc News,The 100,2020-03-22 08:00:00,000 donation could help pay for up to 100 more performances to be livestreamed as artists lose work due to the pandemic.,Slaight Music donation doubles performing arts fund during coronavirus outbreak,Slaight Music is doubling a performing arts fund that will see performances livestreamed online to help artists affected by the ongoing COVID-19 outbreak. The CanadaPerforms series was announced Thursday as a partnership between the National Arts Centre (NAC) and Facebook Canada with an initial 100
The Canadian Press,Laurie Pushor,2020-03-27 01:46:00,Saskatchewan’s deputy minister of energy and resources,Sask. bureaucrat named top boss of Alta. Energy Regulator,is to take over the Alberta Energy Regulator’s top job April 15.
"",as restaurants close province-wide,bringing total to 348,2020-03-20 21:29:00,B.C. announces 77 new coronavirus cases,B.C. is ordering all restaurants to stop providing dine-in services
Cbc News,2020-03-21 11:00:00,whats the coronavirus? Ease kids COVID-19 fears with this comic-zine,Whats COVID-19? Whats isolation? Is there a cure? Kids,Mom,like adults
Cbc News,2020-03-27 02:30:00,employer reach tentative deal on new collective agreement,B.C. teachers and their employer say they have reached a tentative deal on a new collective agreement. It is for three years. Both sides say more details will be released once the deal is voted on by members of the B.C. Teachers Federation.,B.C. teachers,A tentative agreement has been reached with British Columbias 45
"",The survey suggests at least 3,2020-03-26 21:31:00,200 of the 15,Dene Nation survey suggests a fifth of its members could have severe complications from COVID-19,000 Dene Nation members in N.W.T. could have serious complications from the disease.
Sarah Rieger Joined Cbc Calgary As An Online Journalist In You Can Reach Her Email At Sarah.Rieger Cbc.Ca.,Alberta talk radio host deletes tweet with false claim that theres a 100% cure for coronavirus,Read More Articles Sarah,2020-03-22 21:08:00,Follow Sarah On Twitter,Alberta talk radio host Danielle Smith is being criticized for promoting an article claiming there is a 100 per cent cure for coronavirus on Twitter.
Thomson Reuters,The Cannes Film Festival in May has been postponed due to the spread of the coronavirus,2020-03-19 20:35:00,organizers of the annual event in southern France said Thursday.,Cannes Film Festival postponed due to coronavirus,The Cannes Film Festival has been postponed due to the spread of the novel coronavirus
Winnipeg Free Press,Like airports around the world,2020-03-21 20:49:00,the global pandemic is gradually emptying out Winnipeg’s Richardson International Airport.,Rolling into quicksand: Coronavirus outbreak leaves Winnipeg airport virtually empty,Like airports around the world
Cbc News,The death toll from an outbreak of coronavirus in Italy has leapt by 793 to 4,2020-03-21 11:52:00,825,Coronavirus: Heres whats happening in Canada and around the world on March 21,officials said on Saturday
Defence,Foreign Policy Parliament Hill For Over A Decade. Among Other Assignments,Based In Ottawa. He Has Covered The Canadian Military,He Spent A Total Of Months On The Ground Covering The Afghan War For The Canadian Press. Prior To That,Murray Brewster Is Senior Defence Writer For Cbc News,He Covered Defence Issues
Cbc News,The state of Michigan has its first death due to COVID-19.,2020-03-18 23:21:00,A man in his 50s who tested positive for COVID-19 died in a Beaumont Hospital in Wayne County,Michigan has its first death from coronavirus,according to a hospital media release. The person also had other underlying medical conditions. Susan Grant
Cbc News,Confused about the language that health and government officials are using during the COVID-19 outbreak? Read on for a few explanations.,2020-03-26 21:52:00,Confused about the language that health and government officials are using during this COVID-19 pandemic? Below is our glossary for terms currently in circulation as officials strive to keep people informed. Community transmission When referring to how a disease is spread,A COVID-19 glossary: What the terms mean and some subtle differences,one of the methods is community transmission. In the case of COVID-19
Thomson Reuters,Italys death toll from the coronavirus has overtaken Chinas,2020-03-19 14:47:00,as hospitals said they were overwhelmed and the government prepared to prolong emergency lockdown measures. A total of 427 deaths were registered in Italy over the past 24 hours,Italys coronavirus death toll surpasses that of China,bringing the total nationwide tally to 3
Cbc News,Looking for information on the coronavirus outbreak in your area? Get the latest advisories,2020-03-18 08:00:00,cancellations and updates for where you live in Canada here.,The latest coronavirus information in your part of Canada,The coronavirus outbreak has resulted in a deluge of information
"",as restaurants close province-wide,bringing total to 348,2020-03-20 21:29:00,B.C. announces 77 new coronavirus cases,B.C. is ordering all restaurants to stop providing dine-in services
Host Of Afternoon Drive,Producer In Several Cities Across Canada,Reporter,Has Hosted Several Cbc Network Programs,Chris Dela Torre Is The Host Of Afternoon Drive On Cbc Radio One In Southwestern Ontario. HeS Worked As A Host,Such As Q
Politics,Has Written For The Globe,The CbcS Polls Analyst. He Was The Founder Of Threehundredeight.Com,Mail,Éric Grenier Is A Senior Writer,Huffington Post Canada
"",2020-03-27 01:09:00,agriculture relief,The provincial government has fished 153 million out of its emergency and disaster fund to respond to the COVID-19 pandemic and help hard-hit farmers.,Alberta government grabs disaster funds for COVID-19,The Alberta government has fished 153 million out of its emergency and disaster fund to respond to the COVID-19 pandemic and help hard-hit farmers. Finance Minister Travis Toews has plucked 33 million from the 680-million fund to prepare for increased acute care expenses
"",as restaurants close province-wide,bringing total to 348,2020-03-20 21:29:00,B.C. announces 77 new coronavirus cases,B.C. is ordering all restaurants to stop providing dine-in services
Defence,Foreign Policy Parliament Hill For Over A Decade. Among Other Assignments,Based In Ottawa. He Has Covered The Canadian Military,He Spent A Total Of Months On The Ground Covering The Afghan War For The Canadian Press. Prior To That,Murray Brewster Is Senior Defence Writer For Cbc News,He Covered Defence Issues
Tory Gillis Began Work As A Journalist With Cbc Saskatchewan In You Can Hear Her Deliver The Afternoon News On Weekdays On Cbc Radio One In Saskatchewan. She Has Also Worked As A Reporter,Bluesky,The Morning Edition,The Afternoon Edition.,As An Associate Producer On Cbc SaskatchewanS Radio Shows,Sask. emergency responders take precautions during coronavirus pandemic
Cbc News,A Canadian has died in Japan from complications linked to COVID-19,2020-03-20 10:52:00,the countrys foreign affairs minister said Friday,Coronavirus: Heres whats happening in Canada and around the world on March 20,while the prime minister also outlined a strategy to help manufacturers rapidly ramp up production of medical supplies.
The Associated Press,Ford,2020-03-18 19:59:00,General Motors,Automakers shut North American plants over coronavirus fears,Fiat Chrysler
"",The B.C. government says safe prescription drugs will be provided to people who use substances amid fears the illegal drug supply is becoming increasingly toxic as a result of the COVID-19 pandemic.,2020-03-27 04:47:00,The provincial government says safe prescription drugs will be provided to people who use substances amid fears the illegal drug supply is becoming increasingly toxic as a result of the COVID-19 pandemic. B.C.s Minister of Mental Health and Addictions Judy Darcy announced new guidelines for prescribers to provide medications to patients,B.C. releases plan to provide safe supply of drugs during COVID-19 pandemic,including home delivery and giving prescriptions through virtual visits. It will ensure that less people turn to the poisoned drug supply and it will ensure that less people have to venture out to pharmacies regularly and still put themselves at risk and put the community at risk
Cbc News,Starbucks is joining the growing list of companies scaling back services in Canada due to the coronavirus pandemic. The company said in a statement late Friday that it will close most of its cafés and offer service only through delivery and drive-thrus for the next two weeks.,2020-03-21 00:38:00,Starbucks is joining the growing list of companies scaling back services in Canada due to the coronavirus pandemic. The company said in a statement late Friday that it will close most of its cafés and offer service only through delivery and drive-thrus for the next two weeks. Thank you so much for all youre doing,Starbucks temporarily closing most locations in Canada because of coronavirus,and above all else know that all our decisions are balancing partner and customer care
